FechaParticipacion;¿Con qué finalidad se dirige habitualmente a la Hemeroteca Municipal?;¿Con qué frecuencia acude a la Hemeroteca Municipal?;¿Ha utilizado el servicio de consulta en sala?;Por favor, valore de 0 a 10 su grado de satisfacción con el servicio de consulta en sala.;¿Ha utilizado el servicio de reprografía?;Satisfacción general con el servicio de reprografía;¿Ha participado en alguna actividad organizada por la Hemeroteca Municipal (visitas guiadas, exposiciones, conferencias, talleres, presentaciones, etc.)?;Satisfacción con las actividades culturales;Servicio de información general y especializada;Uso de la red wifi;Hemerotecas digitales y recursos en línea;Acceso a plataformas de prensa (ORBYT, KIOSCO Y MÁS, etc.);Servicio de información general y especializada2;¿Qué fondos son los que más consulta en la Hemeroteca Municipal de Madrid?;¿Conoce la página web de la Hemeroteca Municipal?;La actualización de la información y los contenidos;La facilidad de la búsqueda en el catálogo;La facilidad de localización de obras digitalizadas;Tiempo de descarga de los documentos digitalizados;El edificio y las instalaciones;El horario de apertura;La información general y especializada recibida;El trato y la atención recibidos;¿Cuál es su valoración general de la Hemeroteca Municipal y sus servicios? Valore su satisfacción de 0 a 10.;¿En cuál de los siguientes grupos de edad se encuentra usted?;De manera global, el servicio prestado por la Hemeroteca Municipal ha sido:
2022-10-24 11:4:30. 0;Investigación y estudio;Ocasionalmente;Sí;10;No;;No;;Sí;No;Sí;No;10;Publicaciones periódicas siglo XIX;Sí;8;6;8;10;8;10;10;10;10;Más de 65 años;Mejor de lo que esperaba
2022-10-24 11:5:9. 0;Interés profesional;Ocasionalmente;Sí;8;Sí;8;No;;No;No;No;No;No sabe, no contesta;"Publicaciones periódicas siglo XX;Prensa diaria actual";Sí;5;3;2;No sabe, no contesta;9;7;7;9;6;De 30 a 44 años;Igual de lo que esperaba
2022-10-24 11:8:39. 0;Investigación y estudio;Varias veces al año;Sí;10;No;;No;;Sí;Sí;Sí;No;10;"Publicaciones periódicas siglo XIX;Publicaciones periódicas siglo XX";Sí;No sabe, no contesta;10;9;10;10;10;10;10;10;De 18 a 29 años;Mejor de lo que esperaba
2022-10-24 11:11:16. 0;Investigación y estudio;Ocasionalmente;Sí;10;No;;Sí;10;Sí;No;Sí;No;10;Publicaciones periódicas siglo XX;Sí;10;10;10;No sabe, no contesta;10;10;10;10;10;De 45 a 64 años;Mejor de lo que esperaba
2022-10-24 11:16:40. 0;Investigación y estudio;Una vez al año;Sí;10;Sí;10;No;;Sí;No;Sí;No;10;Publicaciones periódicas siglo XIX;Sí;10;10;10;10;10;10;10;10;10;De 45 a 64 años;Mejor de lo que esperaba
2022-10-24 11:17:48. 0;Interés profesional;Diariamente;Sí;9;Sí;7;Sí;10;Sí;Sí;Sí;Sí;9;Publicaciones siglos XVII-XVIII;Sí;9;7;8;8;9;8;8;9;8;De 45 a 64 años;Mejor de lo que esperaba
2022-10-24 11:18:1. 0;Investigación y estudio;Ocasionalmente;Sí;10;No;;No;;Sí;Sí;Sí;No;10;Publicaciones periódicas siglo XX;Sí;8;8;7;10;10;10;10;10;9;De 18 a 29 años;Mejor de lo que esperaba
2022-10-24 11:20:59. 0;Investigación y estudio;Varios días al mes;Sí;10;Sí;10;No;;Sí;No;Sí;No;10;"Publicaciones periódicas siglo XIX;Publicaciones periódicas siglo XX";Sí;10;10;10;10;10;10;10;10;10;De 45 a 64 años;Mejor de lo que esperaba
2022-10-24 11:21:55. 0;Interés profesional;Varios días a la semana;Sí;10;No;;Sí;9;Sí;Sí;No;Sí;5;Publicaciones periódicas siglo XIX;Sí;10;8;8;9;8;10;10;10;10;De 45 a 64 años;Mejor de lo que esperaba
2022-10-24 11:22:19. 0;Investigación y estudio;Varios días al mes;Sí;10;No;;No;;Sí;No;Sí;No;10;Publicaciones periódicas siglo XX;No;;;;;10;10;10;10;10;Más de 65 años;Igual de lo que esperaba
2022-10-24 11:22:44. 0;Interés profesional;Varias veces al año;Sí;10;No;;No;;Sí;Sí;No;No;10;Publicaciones periódicas siglo XX;Sí;No sabe, no contesta;8;No sabe, no contesta;No sabe, no contesta;10;10;10;10;10;De 30 a 44 años;Mejor de lo que esperaba
2022-10-24 11:25:43. 0;Interés profesional;Varias veces al año;Sí;10;No;;Sí;10;Sí;No;Sí;No;10;Publicaciones periódicas siglo XX;Sí;No sabe, no contesta;10;10;10;10;10;10;10;10;De 30 a 44 años;Mejor de lo que esperaba
2022-10-24 11:25:53. 0;Interés personal;Varias veces al año;Sí;10;No;;No;;No;No;Sí;No;NS/NC;Publicaciones periódicas siglo XX;Sí;7;7;7;7;10;No sabe / No contesta;7;10;9;Más de 65 años;Mejor de lo que esperaba
2022-10-24 11:31:47. 0;Investigación y estudio;Una vez al año;Sí;3;Sí;0;No;;No;No;No;No;NS/NC;Publicaciones periódicas siglo XX;Sí;4;4;4;4;8;7;4;6;3;De 45 a 64 años;Peor de lo que esperaba
2022-10-24 11:32:37. 0;Investigación y estudio;Ocasionalmente;Sí;10;Sí;10;No;;Sí;No;No;No;10;Publicaciones periódicas siglo XX;Sí;10;10;10;10;8;10;10;10;10;De 45 a 64 años;Mejor de lo que esperaba
2022-10-24 11:38:0. 0;Investigación y estudio;Varias veces al año;No;;No;;No;;No;No;Sí;No;NS/NC;"Publicaciones periódicas siglo XIX;Publicaciones periódicas siglo XX";Sí;No sabe, no contesta;5;5;7;No sabe / No contesta;No sabe / No contesta;No sabe / No contesta;No sabe / No contesta;7;Más de 65 años;Igual de lo que esperaba
2022-10-24 11:50:27. 0;Investigación y estudio;Ocasionalmente;Sí;10;No;;No;;No;No;Sí;No;NS/NC;"Publicaciones periódicas siglo XIX;Publicaciones periódicas siglo XX";Sí;9;9;9;9;8;10;10;10;9;De 45 a 64 años;Mejor de lo que esperaba
2022-10-24 11:51:4. 0;Investigación y estudio;Ocasionalmente;Sí;10;Sí;10;No;;No;No;No;No;NS/NC;Publicaciones periódicas siglo XX;Sí;8;7;7;9;9;9;10;10;10;De 45 a 64 años;Igual de lo que esperaba
2022-10-24 11:51:56. 0;Investigación y estudio;Ocasionalmente;Sí;7;No;;No;;Sí;No;Sí;No;7;"Publicaciones periódicas siglo XIX;Publicaciones periódicas siglo XX";No;;;;;7;7;7;7;7;Más de 65 años;Mejor de lo que esperaba
2022-10-24 11:54:54. 0;Interés profesional;Varias veces al año;Sí;10;No;;No;;Sí;No;Sí;No;10;Publicaciones periódicas siglo XX;Sí;10;10;10;6;10;4;10;10;10;De 18 a 29 años;Mejor de lo que esperaba
2022-10-24 11:58:39. 0;Investigación y estudio;Varias veces al año;Sí;10;Sí;9;No;;Sí;Sí;Sí;No;9;Publicaciones periódicas siglo XX;Sí;6;6;5;5;9;9;10;10;9;De 45 a 64 años;Mejor de lo que esperaba
2022-10-24 11:59:51. 0;Interés profesional;Ocasionalmente;Sí;10;Sí;10;Sí;10;No;No;No;No;No sabe, no contesta;Publicaciones periódicas siglo XX;Sí;No sabe, no contesta;8;8;No sabe, no contesta;10;10;10;10;10;De 45 a 64 años;Mejor de lo que esperaba
2022-10-24 12:3:58. 0;Investigación y estudio;Ocasionalmente;Sí;10;No;;No;;Sí;Sí;Sí;No;10;"Publicaciones periódicas siglo XIX;Publicaciones periódicas siglo XX";Sí;8;5;8;6;10;10;10;8;10;De 45 a 64 años;Igual de lo que esperaba
2022-10-24 12:5:25. 0;Interés profesional;Varias veces al año;Sí;10;No;;No;;Sí;Sí;Sí;No;10;Publicaciones periódicas siglo XX;Sí;6;9;7;6;10;10;10;10;10;De 45 a 64 años;Igual de lo que esperaba
2022-10-24 12:19:35. 0;Investigación y estudio;Ocasionalmente;Sí;10;No;;No;;No;No;No;No;NS/NC;Publicaciones periódicas siglo XX;No;;;;;9;9;10;10;10;De 45 a 64 años;Mejor de lo que esperaba
2022-10-24 12:25:20. 0;Investigación y estudio;Ocasionalmente;Sí;10;No;;No;;No;No;No;No;NS/NC;Publicaciones periódicas siglo XX;No;;;;;10;10;10;10;10;Más de 65 años;Igual de lo que esperaba
2022-10-24 12:32:7. 0;Investigación y estudio;Una vez al año;Sí;10;No;;No;;Sí;Sí;Sí;No;10;"Publicaciones periódicas siglo XIX;Publicaciones periódicas siglo XX";No;;;;;10;10;10;10;10;De 18 a 29 años;Igual de lo que esperaba
2022-10-24 12:34:56. 0;Interés personal;Varias veces al año;Sí;10;Sí;9;No;;Sí;No;Sí;Sí;NS/NC;"Publicaciones siglos XVII-XVIII;Publicaciones periódicas siglo XIX";Sí;8;9;8;9;9;9;9;10;9;Más de 65 años;Igual de lo que esperaba
2022-10-24 12:50:14. 0;Interés profesional;Ocasionalmente;Sí;10;Sí;9;No;;Sí;Sí;Sí;Sí;10;Publicaciones periódicas siglo XX;No;;;;;10;9;9;7;9;De 45 a 64 años;Mejor de lo que esperaba
2022-10-24 13:10:38. 0;Investigación y estudio;Varias veces al año;Sí;9;No;;No;;Sí;No;No;No;NS/NC;Publicaciones periódicas siglo XX;No;;;;;8;9;9;10;9;De 45 a 64 años;Igual de lo que esperaba
2022-10-24 13:39:45. 0;Investigación y estudio;Varias veces al año;Sí;9;Sí;6;Sí;9;Sí;Sí;Sí;No;9;"Publicaciones siglos XVII-XVIII;Publicaciones periódicas siglo XIX";Sí;0;8;8;0;7;7;9;9;9;Más de 65 años;Mejor de lo que esperaba
2022-10-24 13:55:31. 0;Investigación y estudio;Ocasionalmente;Sí;10;No;;No;;Sí;Sí;Sí;No;10;Publicaciones periódicas siglo XX;Sí;10;7;10;10;10;10;10;10;10;De 30 a 44 años;Mejor de lo que esperaba
2022-10-24 14:2:7. 0;Investigación y estudio;Ocasionalmente;Sí;10;No;;No;;Sí;Sí;Sí;No;9;Publicaciones periódicas siglo XX;Sí;8;9;9;9;10;10;9;10;10;De 45 a 64 años;Mejor de lo que esperaba
2022-10-24 15:4:29. 0;Investigación y estudio;Varias veces al año;Sí;9;Sí;9;Sí;9;Sí;Sí;Sí;Sí;9;Publicaciones siglos XVII-XVIII;Sí;9;9;9;9;10;10;8;9;10;De 18 a 29 años;Mejor de lo que esperaba
2022-10-24 15:32:16. 0;Investigación y estudio;Ocasionalmente;Sí;10;Sí;10;No;;Sí;Sí;No;Sí;10;Publicaciones periódicas siglo XX;Sí;10;10;10;7;8;8;9;9;10;De 45 a 64 años;Igual de lo que esperaba
2022-10-24 16:1:44. 0;Interés personal;Varias veces al año;Sí;9;Sí;8;No;;No;No;Sí;Sí;NS/NC;Publicaciones periódicas siglo XX;Sí;7;8;8;6;8;6;7;8;8;Más de 65 años;Mejor de lo que esperaba
2022-10-24 16:21:23. 0;Investigación y estudio;Ocasionalmente;Sí;10;No;;No;;Sí;No;Sí;No;10;Publicaciones periódicas siglo XX;Sí;8;8;8;8;10;9;10;10;9;De 30 a 44 años;Mejor de lo que esperaba
2022-10-24 16:44:33. 0;Interés profesional;Ocasionalmente;Sí;9;No;;No;;Sí;Sí;Sí;No;10;"Publicaciones periódicas siglo XIX;Publicaciones periódicas siglo XX";Sí;5;5;5;5;9;9;10;10;9;De 30 a 44 años;Mejor de lo que esperaba
2022-10-24 17:17:49. 0;Investigación y estudio;Varias veces al año;Sí;10;No;;No;;Sí;No;No;No;10;Publicaciones periódicas siglo XX;Sí;8;8;8;7;9;8;9;10;9;De 45 a 64 años;Mejor de lo que esperaba
2022-10-24 21:8:2. 0;Investigación y estudio;Ocasionalmente;Sí;8;Sí;8;No;;Sí;No;Sí;No;9;Publicaciones periódicas siglo XIX;No;;;;;8;8;9;8;9;De 45 a 64 años;Igual de lo que esperaba
2022-10-24 21:10:30. 0;Interés personal;Varias veces al año;Sí;10;Sí;10;No;;Sí;Sí;Sí;Sí;10;"Publicaciones periódicas siglo XX;Prensa diaria actual";Sí;10;10;10;10;10;10;10;10;10;De 45 a 64 años;Mejor de lo que esperaba
2022-10-24 22:5:7. 0;Interés personal;Varios días al mes;Sí;9;Sí;9;Sí;10;Sí;No;Sí;Sí;9;Publicaciones periódicas siglo XX;No;;;;;10;10;9;10;10;De 45 a 64 años;Igual de lo que esperaba
2022-10-24 22:40:43. 0;Investigación y estudio;Ocasionalmente;Sí;9;No;;No;;No;No;No;No;NS/NC;Publicaciones periódicas siglo XX;No;;;;;10;9;9;10;9;Más de 65 años;Mejor de lo que esperaba
2022-10-24 23:0:23. 0;Investigación y estudio;Varias veces al año;Sí;10;No;;No;;Sí;No;Sí;No;10;"Publicaciones periódicas siglo XIX;Publicaciones periódicas siglo XX";Sí;9;9;9;9;9;9;9;10;10;De 45 a 64 años;Igual de lo que esperaba
2022-10-25 0:16:20. 0;Investigación y estudio;Ocasionalmente;Sí;9;No;;No;;Sí;No;Sí;Sí;9;"Publicaciones periódicas siglo XIX;Publicaciones periódicas siglo XX";No;;;;;10;10;10;10;9;De 30 a 44 años;Mejor de lo que esperaba
2022-10-25 0:18:41. 0;;;;;;;;;;;;;;;;;;;;;;;;;;
2022-10-25 0:19:13. 0;Investigación y estudio;Ocasionalmente;Sí;9;No;;No;;No;Sí;No;No;NS/NC;Publicaciones periódicas siglo XX;No;;;;;8;8;No sabe / No contesta;8;9;Más de 65 años;Mejor de lo que esperaba
2022-10-25 10:21:51. 0;Investigación y estudio;Varias veces al año;Sí;10;Sí;10;No;;Sí;No;Sí;Sí;10;"Publicaciones siglos XVII-XVIII;Publicaciones periódicas siglo XIX;Publicaciones periódicas siglo XX;Prensa diaria actual";Sí;10;10;10;10;10;10;10;10;10;De 45 a 64 años;Mejor de lo que esperaba
2022-10-25 10:33:6. 0;Interés personal;Ocasionalmente;Sí;10;Sí;10;No;;No;No;No;No;NS/NC;Publicaciones periódicas siglo XX;No;;;;;10;9;9;10;10;Más de 65 años;Mejor de lo que esperaba
